Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,2208030
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,680
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,240960
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,17820
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,12330
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,2838990
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,772835.1806
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,46160
Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,1310
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,304530
Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,140
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,5500
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,414850
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,8470
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,14370
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2240
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,520
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,280
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,8090
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,69550
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,250
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,13950
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,2060
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,12533637.72
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,9460
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,179610
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,16340
Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,3060
Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,40630
IBRD only,IBD,CO2 emissions (kt),EN.ATM.CO2E.KT,19941800
IDA & IBRD total,IBT,CO2 emissions (kt),EN.ATM.CO2E.KT,20703760.95
IDA total,IDA,CO2 emissions (kt),EN.ATM.CO2E.KT,754423.0899
IDA blend,IDB,CO2 emissions (kt),EN.ATM.CO2E.KT,423580
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,490050
IDA only,IDX,CO2 emissions (kt),EN.ATM.CO2E.KT,328591.0611
Isle of Man,IMN,CO2 emissions (kt),EN.ATM.CO2E.KT,
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,2136870
Not classified,INX,CO2 emissions (kt),EN.ATM.CO2E.KT,
